tag,step,wall_time,value
action/longitudinal_max,132,1786645361.306387,0.9806779026985168
action/longitudinal_max,223,1786645375.590729,0.9788195490837097
action/longitudinal_max,322,1786645386.364460,0.9888015985488892
action/longitudinal_max,418,1786645397.307336,0.9837806820869446
action/longitudinal_max,499,1786645409.762906,0.9996171593666077
action/longitudinal_max,732,1786645433.646385,0.9921425580978394
action/longitudinal_max,766,1786645437.324815,0.9665497541427612
action/longitudinal_max,818,1786645445.143501,0.9970531463623047
action/longitudinal_max,934,1786645457.544275,0.9658529758453369
action/longitudinal_max,981,1786645464.121207,0.96640545129776
action/longitudinal_max,1064,1786645472.033198,0.9577139616012573
action/longitudinal_max,1114,1786645478.362917,0.9472830295562744
action/longitudinal_max,1152,1786645487.953614,0.9898037910461426
action/longitudinal_max,1251,1786645506.776588,0.9922008514404297
action/longitudinal_max,1466,1786645532.245787,0.9998979568481445
action/longitudinal_max,1572,1786645552.754491,0.997110903263092
action/longitudinal_max,1655,1786645569.069604,0.9912064075469971
action/longitudinal_max,1750,1786645590.059036,0.9912462830543518
action/longitudinal_max,1785,1786645594.500232,0.9919867515563965
action/longitudinal_max,1918,1786645615.930298,0.9947159290313721
action/longitudinal_max,1943,1786645619.293555,0.9869667887687683
action/longitudinal_max,2037,1786645632.978573,0.9911967515945435
action/longitudinal_max,2089,1786645639.369565,0.9955987930297852
action/longitudinal_max,2141,1786645648.454188,0.9822404980659485
action/longitudinal_max,2182,1786645656.322395,0.9908978343009949
action/longitudinal_max,2211,1786645660.786232,0.9591857194900513
action/longitudinal_max,2247,1786645668.039663,0.9780084490776062
action/longitudinal_max,3026,1786645757.510707,0.9992427825927734
action/longitudinal_max,4226,1786645890.489535,0.9995415210723877
action/longitudinal_max,5426,1786646050.418301,0.9982988834381104
action/longitudinal_max,6626,1786646209.380322,0.9988346695899963
action/longitudinal_max,7826,1786646362.342880,0.9985369443893433
action/longitudinal_max,7897,1786646368.686446,0.9989768266677856
action/longitudinal_max,9097,1786646499.425211,0.9999436140060425
action/longitudinal_max,9939,1786646620.214310,0.999498188495636
action/longitudinal_max,10114,1786646642.141308,0.9994696378707886
action/longitudinal_max,10193,1786646652.838592,0.9938062429428101
action/longitudinal_max,11393,1786646783.871674,0.998755931854248
action/longitudinal_max,11512,1786646796.060972,0.9982264637947083
action/longitudinal_max,11961,1786646856.264830,0.9996938109397888
action/longitudinal_max,12301,1786646900.521956,0.9969074726104736
action/longitudinal_max,12629,1786646943.554458,0.9976142644882202
action/longitudinal_max,13829,1786647089.763810,0.9979537725448608
action/longitudinal_max,15029,1786647264.563901,0.9961828589439392
action/longitudinal_max,15448,1786647348.951844,0.9997261166572571
action/longitudinal_max,16648,1786647490.273312,0.9995124936103821
action/longitudinal_max,16879,1786647517.163321,0.9967614412307739
action/longitudinal_max,17624,1786647610.347750,0.999540388584137
action/longitudinal_max,18114,1786647680.760014,0.9894908666610718
action/longitudinal_max,19314,1786647851.783251,0.9998387098312378
action/longitudinal_max,19907,1786647920.261091,0.9991458058357239
action/longitudinal_max,20000,1786647935.571588,0.9951784014701843
action/longitudinal_mean,132,1786645361.306356,0.013157842680811882
action/longitudinal_mean,223,1786645375.590523,-0.015033588744699955
action/longitudinal_mean,322,1786645386.364389,0.00798224750906229
action/longitudinal_mean,418,1786645397.306936,-0.019768405705690384
action/longitudinal_mean,499,1786645409.762878,0.05148038640618324
action/longitudinal_mean,732,1786645433.646357,0.012561028823256493
action/longitudinal_mean,766,1786645437.324762,-0.07759074121713638
action/longitudinal_mean,818,1786645445.143467,0.08461061120033264
action/longitudinal_mean,934,1786645457.544245,0.02276141755282879
action/longitudinal_mean,981,1786645464.121057,-0.0959661528468132
action/longitudinal_mean,1064,1786645472.033163,0.04809120297431946
action/longitudinal_mean,1114,1786645478.362879,0.057008907198905945
action/longitudinal_mean,1152,1786645487.953541,0.002080650767311454
action/longitudinal_mean,1251,1786645506.776553,-0.02572297491133213
action/longitudinal_mean,1466,1786645532.245742,0.06838248670101166
action/longitudinal_mean,1572,1786645552.754457,0.09971405565738678
action/longitudinal_mean,1655,1786645569.069569,0.05949787795543671
action/longitudinal_mean,1750,1786645590.059001,0.08660412579774857
action/longitudinal_mean,1785,1786645594.500155,0.5106333494186401
action/longitudinal_mean,1918,1786645615.930267,0.24687328934669495
action/longitudinal_mean,1943,1786645619.293461,0.6853591203689575
action/longitudinal_mean,2037,1786645632.978538,0.18645180761814117
action/longitudinal_mean,2089,1786645639.369531,0.4686654806137085
action/longitudinal_mean,2141,1786645648.454154,0.2948048710823059
action/longitudinal_mean,2182,1786645656.322361,0.34140104055404663
action/longitudinal_mean,2211,1786645660.786088,0.2564127445220947
action/longitudinal_mean,2247,1786645668.039626,0.3079982101917267
action/longitudinal_mean,3026,1786645757.510664,0.18634122610092163
action/longitudinal_mean,4226,1786645890.489496,0.17511709034442902
action/longitudinal_mean,5426,1786646050.418247,0.2921682298183441
action/longitudinal_mean,6626,1786646209.380286,0.014936408959329128
action/longitudinal_mean,7826,1786646362.342831,0.37476569414138794
action/longitudinal_mean,7897,1786646368.686414,0.7828383445739746
action/longitudinal_mean,9097,1786646499.425173,0.4281693398952484
action/longitudinal_mean,9939,1786646620.214272,0.4249299466609955
action/longitudinal_mean,10114,1786646642.141269,0.6318379640579224
action/longitudinal_mean,10193,1786646652.838555,0.416331022977829
action/longitudinal_mean,11393,1786646783.871643,0.47483184933662415
action/longitudinal_mean,11512,1786646796.060932,0.6386304497718811
action/longitudinal_mean,11961,1786646856.264792,0.5288387537002563
action/longitudinal_mean,12301,1786646900.521921,0.495061993598938
action/longitudinal_mean,12629,1786646943.554420,0.6491236686706543
action/longitudinal_mean,13829,1786647089.763762,0.5160032510757446
action/longitudinal_mean,15029,1786647264.563859,0.407387375831604
action/longitudinal_mean,15448,1786647348.951802,0.7531417012214661
action/longitudinal_mean,16648,1786647490.273272,0.5464473366737366
action/longitudinal_mean,16879,1786647517.163282,0.21066784858703613
action/longitudinal_mean,17624,1786647610.347713,0.2183559387922287
action/longitudinal_mean,18114,1786647680.759936,0.033374231308698654
action/longitudinal_mean,19314,1786647851.783207,0.7569116353988647
action/longitudinal_mean,19907,1786647920.261053,0.7314873933792114
action/longitudinal_mean,20000,1786647935.571550,0.8666782975196838
action/longitudinal_min,132,1786645361.306379,-0.9765718579292297
action/longitudinal_min,223,1786645375.590576,-0.9687878489494324
action/longitudinal_min,322,1786645386.364439,-0.9945935606956482
action/longitudinal_min,418,1786645397.307199,-0.9922792911529541
action/longitudinal_min,499,1786645409.762899,-0.9896940588951111
action/longitudinal_min,732,1786645433.646378,-0.9986715912818909
action/longitudinal_min,766,1786645437.324804,-0.9674944281578064
action/longitudinal_min,818,1786645445.143492,-0.9606167078018188
action/longitudinal_min,934,1786645457.544267,-0.9925804734230042
action/longitudinal_min,981,1786645464.121077,-0.9875931739807129
action/longitudinal_min,1064,1786645472.033189,-0.9968108534812927
action/longitudinal_min,1114,1786645478.362907,-0.9854379892349243
action/longitudinal_min,1152,1786645487.953563,-0.8951859474182129
action/longitudinal_min,1251,1786645506.776579,-0.9889791011810303
action/longitudinal_min,1466,1786645532.245776,-0.9898962378501892
action/longitudinal_min,1572,1786645552.754482,-0.9731171727180481
action/longitudinal_min,1655,1786645569.069595,-0.9630507230758667
action/longitudinal_min,1750,1786645590.059027,-0.9927882552146912
action/longitudinal_min,1785,1786645594.500201,-0.9047870635986328
action/longitudinal_min,1918,1786645615.930291,-0.9438081979751587
action/longitudinal_min,1943,1786645619.293491,-0.5632832050323486
action/longitudinal_min,2037,1786645632.978564,-0.9872724413871765
action/longitudinal_min,2089,1786645639.369556,-0.8352687954902649
action/longitudinal_min,2141,1786645648.454180,-0.905522882938385
action/longitudinal_min,2182,1786645656.322387,-0.9673944115638733
action/longitudinal_min,2211,1786645660.786185,-0.9646911025047302
action/longitudinal_min,2247,1786645668.039654,-0.9389001131057739
action/longitudinal_min,3026,1786645757.510698,-0.9900943040847778
action/longitudinal_min,4226,1786645890.489528,-0.9985107779502869
action/longitudinal_min,5426,1786646050.418294,-0.9975045323371887
action/longitudinal_min,6626,1786646209.380314,-0.9999874830245972
action/longitudinal_min,7826,1786646362.342871,-0.9653167724609375
action/longitudinal_min,7897,1786646368.686438,-0.22222210466861725
action/longitudinal_min,9097,1786646499.425202,-0.9977237582206726
action/longitudinal_min,9939,1786646620.214301,-0.9663673639297485
action/longitudinal_min,10114,1786646642.141299,-0.5638294816017151
action/longitudinal_min,10193,1786646652.838583,-0.9550465941429138
action/longitudinal_min,11393,1786646783.871667,-1.0
action/longitudinal_min,11512,1786646796.060962,-0.6174224615097046
action/longitudinal_min,11961,1786646856.264822,-0.997478723526001
action/longitudinal_min,12301,1786646900.521949,-0.9522078633308411
action/longitudinal_min,12629,1786646943.554449,-0.8830883502960205
action/longitudinal_min,13829,1786647089.763801,-0.9970688819885254
action/longitudinal_min,15029,1786647264.563890,-0.9999892115592957
