tag,step,wall_time,value
action/longitudinal_max,1024,1786572242.957061,0.9905156493186951
action/longitudinal_max,2048,1786572399.869311,0.9989913105964661
action/longitudinal_max,3072,1786572554.573128,0.9966652393341064
action/longitudinal_max,4096,1786572712.728831,0.9987109899520874
action/longitudinal_max,5120,1786572868.556996,0.9992156624794006
action/longitudinal_max,6144,1786573027.430860,0.9995572566986084
action/longitudinal_max,7168,1786573181.600774,0.9994003772735596
action/longitudinal_max,8192,1786573325.791187,0.9992916584014893
action/longitudinal_max,9216,1786573470.673583,0.9988937377929688
action/longitudinal_max,10240,1786573609.638668,0.998447835445404
action/longitudinal_max,11264,1786573771.152073,0.9982020854949951
action/longitudinal_max,12288,1786573896.138609,0.9994111061096191
action/longitudinal_max,13312,1786574030.870026,0.9960177540779114
action/longitudinal_max,14336,1786574198.345403,0.9963401556015015
action/longitudinal_max,15360,1786574338.580581,0.9985545873641968
action/longitudinal_max,16384,1786574478.254162,0.9991601705551147
action/longitudinal_max,17408,1786574638.620192,0.9995706081390381
action/longitudinal_max,18432,1786574775.967915,0.9987233877182007
action/longitudinal_max,19456,1786574921.166428,0.9992384910583496
action/longitudinal_max,20000,1786574987.332482,0.9982137084007263
action/longitudinal_mean,1024,1786572242.957024,-0.02201242558658123
action/longitudinal_mean,2048,1786572399.869271,-0.02021506056189537
action/longitudinal_mean,3072,1786572554.573092,0.05943774804472923
action/longitudinal_mean,4096,1786572712.728802,0.10840775072574615
action/longitudinal_mean,5120,1786572868.556949,0.20918864011764526
action/longitudinal_mean,6144,1786573027.430824,0.277710497379303
action/longitudinal_mean,7168,1786573181.600734,0.20160195231437683
action/longitudinal_mean,8192,1786573325.791149,0.2279755026102066
action/longitudinal_mean,9216,1786573470.673547,0.20653598010540009
action/longitudinal_mean,10240,1786573609.638629,0.22274646162986755
action/longitudinal_mean,11264,1786573771.152037,0.3241638243198395
action/longitudinal_mean,12288,1786573896.138562,0.20942839980125427
action/longitudinal_mean,13312,1786574030.869970,0.23876354098320007
action/longitudinal_mean,14336,1786574198.345364,0.2772623598575592
action/longitudinal_mean,15360,1786574338.580544,0.2499595284461975
action/longitudinal_mean,16384,1786574478.254120,0.24070489406585693
action/longitudinal_mean,17408,1786574638.620152,0.31145909428596497
action/longitudinal_mean,18432,1786574775.967885,0.3551870286464691
action/longitudinal_mean,19456,1786574921.166385,0.3926122784614563
action/longitudinal_mean,20000,1786574987.332441,0.33846092224121094
action/longitudinal_min,1024,1786572242.957052,-0.9922471642494202
action/longitudinal_min,2048,1786572399.869303,-0.994827389717102
action/longitudinal_min,3072,1786572554.573118,-0.9919067025184631
action/longitudinal_min,4096,1786572712.728823,-0.9963616132736206
action/longitudinal_min,5120,1786572868.556986,-0.9844975471496582
action/longitudinal_min,6144,1786573027.430851,-0.9965276718139648
action/longitudinal_min,7168,1786573181.600767,-0.9951838254928589
action/longitudinal_min,8192,1786573325.791177,-0.991148829460144
action/longitudinal_min,9216,1786573470.673573,-0.9978223443031311
action/longitudinal_min,10240,1786573609.638660,-0.9860674738883972
action/longitudinal_min,11264,1786573771.152065,-0.9993640780448914
action/longitudinal_min,12288,1786573896.138600,-0.9933762550354004
action/longitudinal_min,13312,1786574030.870015,-0.988219141960144
action/longitudinal_min,14336,1786574198.345394,-0.9982401728630066
action/longitudinal_min,15360,1786574338.580572,-0.9975994825363159
action/longitudinal_min,16384,1786574478.254152,-0.9878761172294617
action/longitudinal_min,17408,1786574638.620184,-0.9857816696166992
action/longitudinal_min,18432,1786574775.967908,-0.9863392114639282
action/longitudinal_min,19456,1786574921.166420,-0.9871608018875122
action/longitudinal_min,20000,1786574987.332475,-0.9708085656166077
action/longitudinal_std,1024,1786572242.957042,0.6262167096138
action/longitudinal_std,2048,1786572399.869292,0.627638041973114
action/longitudinal_std,3072,1786572554.573108,0.6427869200706482
action/longitudinal_std,4096,1786572712.728815,0.6267027258872986
action/longitudinal_std,5120,1786572868.556972,0.5999875068664551
action/longitudinal_std,6144,1786573027.430840,0.5838297009468079
action/longitudinal_std,7168,1786573181.600757,0.6202436089515686
action/longitudinal_std,8192,1786573325.791167,0.6099395155906677
action/longitudinal_std,9216,1786573470.673564,0.5924732685089111
action/longitudinal_std,10240,1786573609.638651,0.59247225522995
action/longitudinal_std,11264,1786573771.152055,0.575954258441925
action/longitudinal_std,12288,1786573896.138588,0.602399468421936
action/longitudinal_std,13312,1786574030.870002,0.601514995098114
action/longitudinal_std,14336,1786574198.345383,0.5995070934295654
action/longitudinal_std,15360,1786574338.580562,0.6000657677650452
action/longitudinal_std,16384,1786574478.254141,0.5960741639137268
action/longitudinal_std,17408,1786574638.620175,0.5860890746116638
action/longitudinal_std,18432,1786574775.967899,0.5708310008049011
action/longitudinal_std,19456,1786574921.166410,0.5638688206672668
action/longitudinal_std,20000,1786574987.332465,0.581780731678009
action/steer_max,1024,1786572242.957554,0.9943183660507202
action/steer_max,2048,1786572399.869341,0.9992150664329529
action/steer_max,3072,1786572554.573318,0.9951151609420776
action/steer_max,4096,1786572712.728994,0.997393012046814
action/steer_max,5120,1786572868.557118,0.9946842193603516
action/steer_max,6144,1786573027.431041,0.9981809258460999
action/steer_max,7168,1786573181.600802,0.9980645179748535
action/steer_max,8192,1786573325.791566,0.997653603553772
action/steer_max,9216,1786573470.673777,0.9923743009567261
action/steer_max,10240,1786573609.638696,0.9962993264198303
action/steer_max,11264,1786573771.152259,0.9950069189071655
action/steer_max,12288,1786573896.138682,0.9985074400901794
action/steer_max,13312,1786574030.870061,0.9978140592575073
action/steer_max,14336,1786574198.345650,0.998680591583252
action/steer_max,15360,1786574338.580772,0.9969120621681213
action/steer_max,16384,1786574478.254497,0.9946542978286743
action/steer_max,17408,1786574638.620526,0.9935983419418335
action/steer_max,18432,1786574775.968272,0.9995073676109314
action/steer_max,19456,1786574921.166457,0.9935173392295837
action/steer_max,20000,1786574987.332510,0.9998355507850647
action/steer_mean,1024,1786572242.957070,-0.00237515801563859
action/steer_mean,2048,1786572399.869319,0.024135924875736237
action/steer_mean,3072,1786572554.573136,0.08899641782045364
action/steer_mean,4096,1786572712.728838,0.12336066365242004
action/steer_mean,5120,1786572868.557005,0.1355338990688324
action/steer_mean,6144,1786573027.430870,0.18016445636749268
action/steer_mean,7168,1786573181.600781,0.0659729391336441
action/steer_mean,8192,1786573325.791199,0.03575553745031357
