tag,step,wall_time,value
action/longitudinal_max,14005,1786559353.587359,0.9935257434844971
action/longitudinal_max,14452,1786559436.027828,0.992085874080658
action/longitudinal_max,14914,1786559487.826565,0.9943301677703857
action/longitudinal_max,15054,1786559504.083345,0.9818788766860962
action/longitudinal_max,15496,1786559561.050459,0.9896770715713501
action/longitudinal_max,15777,1786559607.933454,0.9934726357460022
action/longitudinal_max,16407,1786559685.644300,0.9940623044967651
action/longitudinal_max,16977,1786559751.269876,0.9974403977394104
action/longitudinal_max,17122,1786559771.331285,0.9917030930519104
action/longitudinal_max,17191,1786559782.910706,0.9878382086753845
action/longitudinal_max,18198,1786559898.551522,0.9914912581443787
action/longitudinal_max,18349,1786559916.916322,0.9919582009315491
action/longitudinal_max,18710,1786559973.678307,0.9912086129188538
action/longitudinal_max,18940,1786560004.815410,0.9756124019622803
action/longitudinal_max,19226,1786560037.055055,0.9871097207069397
action/longitudinal_max,19353,1786560049.940952,0.9858241677284241
action/longitudinal_max,19763,1786560108.389039,0.9939597249031067
action/longitudinal_max,19998,1786560134.775280,0.9909987449645996
action/longitudinal_max,20000,1786560135.649565,0.9919412136077881
action/longitudinal_mean,70,1786557539.716266,-0.05130569636821747
action/longitudinal_mean,162,1786557555.566380,-0.10277578234672546
action/longitudinal_mean,484,1786557591.934508,0.021942568942904472
action/longitudinal_mean,517,1786557596.986084,0.0897657498717308
action/longitudinal_mean,632,1786557614.430356,-0.1251741349697113
action/longitudinal_mean,762,1786557628.139544,0.006989792454987764
action/longitudinal_mean,935,1786557645.918494,-0.06927715986967087
action/longitudinal_mean,1063,1786557664.226311,0.08160990476608276
action/longitudinal_mean,1289,1786557689.471234,-0.00311807612888515
action/longitudinal_mean,1361,1786557699.570078,-0.10422408580780029
action/longitudinal_mean,1591,1786557720.245079,-0.058261431753635406
action/longitudinal_mean,1706,1786557734.289169,-0.036172229796648026
action/longitudinal_mean,1797,1786557753.892545,-0.028983278200030327
action/longitudinal_mean,1952,1786557782.384275,0.009539620950818062
action/longitudinal_mean,2043,1786557793.200786,0.03685210645198822
action/longitudinal_mean,2127,1786557808.364498,0.10919295996427536
action/longitudinal_mean,2225,1786557825.469099,0.012580479495227337
action/longitudinal_mean,2305,1786557844.000005,-0.07799775153398514
action/longitudinal_mean,3505,1786557979.963416,0.114711694419384
action/longitudinal_mean,4146,1786558060.958623,0.1655183732509613
action/longitudinal_mean,5346,1786558227.294870,0.2222975641489029
action/longitudinal_mean,6060,1786558339.281765,0.2498319447040558
action/longitudinal_mean,6704,1786558406.885478,0.3244627118110657
action/longitudinal_mean,6775,1786558418.371388,0.4327995777130127
action/longitudinal_mean,6922,1786558445.335038,0.18612180650234222
action/longitudinal_mean,7341,1786558500.603716,0.3135112226009369
action/longitudinal_mean,8003,1786558593.050324,0.33875179290771484
action/longitudinal_mean,8647,1786558665.467695,0.3868159353733063
action/longitudinal_mean,8719,1786558673.937156,0.4584837555885315
action/longitudinal_mean,9418,1786558758.553787,0.473664253950119
action/longitudinal_mean,10090,1786558837.469958,0.465635746717453
action/longitudinal_mean,10749,1786558921.011654,0.46493831276893616
action/longitudinal_mean,10824,1786558927.700225,0.4459194540977478
action/longitudinal_mean,11262,1786558980.966042,0.48639968037605286
action/longitudinal_mean,11612,1786559036.980489,0.45168787240982056
action/longitudinal_mean,11755,1786559054.139586,0.5712767839431763
