tag,step,wall_time,value
action/longitudinal_max,132,1786561551.822189,0.9806779026985168
action/longitudinal_max,223,1786561565.886638,0.9788195490837097
action/longitudinal_max,322,1786561576.429918,0.9888015985488892
action/longitudinal_max,418,1786561587.056523,0.9837806820869446
action/longitudinal_max,499,1786561599.216588,0.9996171593666077
action/longitudinal_max,732,1786561622.569796,0.9921425580978394
action/longitudinal_max,766,1786561626.173331,0.9665497541427612
action/longitudinal_max,818,1786561633.823684,0.9970531463623047
action/longitudinal_max,934,1786561645.983378,0.9658529758453369
action/longitudinal_max,981,1786561652.343435,0.96640545129776
action/longitudinal_max,1064,1786561660.111145,0.9577139616012573
action/longitudinal_max,1114,1786561666.312026,0.9472830295562744
action/longitudinal_max,1152,1786561675.677510,0.9898037910461426
action/longitudinal_max,1251,1786561694.203337,0.9922008514404297
action/longitudinal_max,1466,1786561719.194665,0.9998979568481445
action/longitudinal_max,1564,1786561738.893847,0.9179232120513916
action/longitudinal_max,1608,1786561748.235681,0.16842873394489288
action/longitudinal_max,1637,1786561755.517803,0.45583418011665344
action/longitudinal_max,1660,1786561759.743119,0.8313133716583252
action/longitudinal_max,1681,1786561764.276947,0.9670994877815247
action/longitudinal_max,1701,1786561768.004302,1.0
action/longitudinal_max,1720,1786561770.906920,1.0
action/longitudinal_max,1740,1786561773.498616,1.0
action/longitudinal_max,1759,1786561777.797009,1.0
action/longitudinal_max,1778,1786561782.171285,1.0
action/longitudinal_max,1790,1786561784.121237,1.0
action/longitudinal_max,1809,1786561788.255468,1.0
action/longitudinal_max,1829,1786561791.322399,1.0
action/longitudinal_max,1852,1786561793.913658,1.0
action/longitudinal_max,1913,1786561802.301996,0.9952453970909119
action/longitudinal_max,1933,1786561804.925910,1.0
action/longitudinal_max,1946,1786561808.362821,1.0
action/longitudinal_max,1958,1786561809.678503,1.0
action/longitudinal_max,1970,1786561812.663341,1.0
action/longitudinal_max,1986,1786561816.776057,1.0
action/longitudinal_max,2001,1786561819.188863,1.0
action/longitudinal_max,2011,1786561820.899756,1.0
action/longitudinal_max,2023,1786561822.599128,1.0
action/longitudinal_max,2037,1786561824.534486,1.0
action/longitudinal_max,2051,1786561826.536244,1.0
action/longitudinal_max,2067,1786561829.085282,1.0
action/longitudinal_max,2081,1786561831.214532,1.0
action/longitudinal_max,2098,1786561835.607095,1.0
action/longitudinal_max,2114,1786561839.946447,1.0
action/longitudinal_max,2130,1786561845.233341,1.0
action/longitudinal_max,2144,1786561847.309228,1.0
action/longitudinal_max,2169,1786561851.792672,1.0
action/longitudinal_max,2183,1786561854.019215,1.0
action/longitudinal_max,2195,1786561857.448302,1.0
action/longitudinal_max,2212,1786561860.164346,1.0
action/longitudinal_max,2880,1786561933.730761,1.0
action/longitudinal_max,2987,1786561950.538085,0.9916088581085205
action/longitudinal_max,3253,1786561984.678064,1.0
action/longitudinal_max,4196,1786562104.135259,1.0
